* 통계표명 :,평균매매가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2023.07.17 16:51:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
전국,,,,315961,318503,319757,320248,320271,320157,320135,320944,323915,325205,325441,325014,349426,348312,347165,345809,344891,344322,344195,344332,344798,346156,348031,351787,366793,368783,372016,373252,373608,375821,380260,383529,386235,387973,391180,396418,401083,406808,410921,414983,419019,426064,491728,498221,504121,509748,513344,514584
수도권,,,,433036,438388,441072,442293,442791,443063,443484,445796,452134,454789,455343,454751,494703,492831,490992,488927,487610,487015,487319,487968,489161,491842,495204,501863,526563,529737,535290,537404,537976,540878,547544,551580,554605,556292,559427,564152,569996,578553,584631,590858,596817,607706,721261,731999,741851,750761,756331,758448
지방권,,,,204969,204847,204747,204545,204117,203639,203196,202580,202359,202355,202288,202019,212775,212376,211878,211189,210647,210102,209570,209226,209007,209122,209598,210622,216470,217346,218396,218805,218958,220524,222866,225414,227820,229605,232881,238600,242156,245216,247481,249507,251732,255160,284270,286926,289254,291913,293724,294172
6대광역시,,,,257577,257757,257913,258022,257979,257734,257504,257083,257274,257953,258452,258723,268938,268648,268373,267881,267546,267229,266913,266800,267117,267749,268875,270787,282145,283622,286740,288289,289127,291510,293779,295977,298907,301505,306330,313976,319357,324733,329139,333113,337314,343728,383138,387876,391941,396018,398633,399441
5대광역시,,,,257017,257173,257333,257482,257461,257185,256982,256667,256974,257748,258236,258432,268263,267982,267607,266998,266602,266200,265837,265822,266043,266713,267920,269942,279447,280685,281802,282207,282411,284258,286501,289025,292516,295565,301179,310102,315661,320582,324076,326852,330023,335004,376739,380322,383268,386256,388179,388641
9개도,,,,238264,239005,239525,239805,239625,239447,239152,238908,240035,240878,241227,240882,256875,256187,255377,254040,253004,252272,251913,251822,251997,252503,253455,255283,267026,269711,273689,275851,276896,279176,282802,285607,287988,289446,292432,297085,301537,307255,311488,315521,319114,325519,378416,385037,390587,395903,399101,400376
8개도,,,,158150,157775,157425,156891,156081,155401,154716,153821,153151,152481,151918,151234,161976,161477,160906,160207,159551,158933,158293,157687,157096,156745,156613,156713,159128,159420,159699,159834,159900,160928,162478,163605,164465,165065,166374,169487,171393,172916,174183,175607,177125,179434,199347,201479,203462,206022,208031,209077
서울,,,,673522,686220,691838,693673,694435,694739,695931,702383,716453,720347,719724,717749,810129,806027,802157,799211,797617,797214,798302,799721,801480,807121,813573,827228,877128,877185,876857,873791,870742,871897,881834,886216,888511,889368,890267,893100,897254,903824,907112,911604,917127,928126,1109300,1119250,1130427,1140659,1148288,1151469
,강북지역,,,499764,505766,510345,512411,514258,516310,518747,523574,531666,534976,535854,535332,631013,629346,627519,625925,624851,624186,624516,625416,626779,630124,633544,637388,675350,676819,678287,678617,677858,678430,685811,689877,692167,693234,694164,696247,698717,703759,706869,709378,712028,717529,932956,940618,947553,954872,960377,961984
,,도심권,,853086,870844,881688,886041,889833,893521,899063,912257,924886,929826,930707,929786,1072816,1070072,1067634,1065136,1063994,1062936,1063430,1064677,1066681,1071610,1077688,1084210,1138146,1139670,1140734,1139946,1138092,1138299,1146247,1151761,1155219,1156252,1157417,1160062,1163121,1168493,1171130,1173839,1176631,1181377,1320062,1330641,1341669,1356861,1369520,1373459
,,,종로구,602125,607646,611500,615833,619167,622708,626417,631021,637167,642313,643875,644083,710411,709786,709661,709554,709214,709250,709250,709679,711357,713732,715696,720375,1022319,1023083,1023917,1023250,1021861,1022514,1029542,1033625,1036486,1036681,1037986,1039903,1041444,1044347,1045819,1047819,1048722,1050750,986488,993400,1000450,1010325,1019263,1020950
,,,중구,623017,631950,640967,646217,651383,655550,661633,670733,682467,688617,691400,692683,775667,773200,771283,769767,768983,768583,768833,770233,771567,776133,780283,783633,795743,796557,797357,796986,796157,796086,802257,806143,807771,808743,809900,812157,814614,820100,822257,823314,824371,829486,1055520,1062180,1069810,1079570,1088060,1089582
,,,용산구,1080385,1107821,1122308,1126141,1129295,1132756,1138654,1157410,1172949,1177103,1176615,1173987,1378500,1374816,1371224,1367276,1365632,1363789,1364605,1366066,1368579,1374658,1383368,1392408,1389939,1392207,1393524,1392439,1389780,1389963,1399354,1406439,1411232,1412659,1413768,1416951,1421012,1427366,1430780,1434768,1439390,1445073,1691671,1707042,1722671,1744636,1762294,1769182
,,동북권,,441505,445707,449147,450409,451549,452952,454704,457790,464968,467895,468924,468423,557957,556709,554967,553344,552174,551441,551600,552319,553471,556271,559056,562291,585414,586815,588416,589155,588821,589687,596352,600137,602112,603028,603947,605798,608112,612746,615890,618404,621046,626294,850294,857434,863398,868135,871360,872612
,,,성동구,680771,696188,704458,705333,704094,705063,708469,714073,726677,728958,729604,728615,881926,880096,876809,872383,866149,863011,863255,864926,867574,873383,879979,887713,899118,900431,901725,901549,900892,902245,910716,916402,918667,920020,921108,923402,927029,934049,938029,940000,942235,947157,1344052,1351519,1357976,1363538,1367371,1368833
,,,광진구,765921,778895,788026,791842,794197,793447,793132,794039,803842,806118,807961,806987,902974,900342,898237,896553,896079,895737,896184,897658,899434,906013,910118,916039,1014402,1014671,1014598,1013671,1012195,1013329,1021037,1025866,1029256,1030878,1032220,1034524,1038378,1047439,1053024,1056524,1059476,1063805,1234964,1241414,1245636,1249686,1252843,1254029
,,,동대문구,447890,450530,452840,455030,456880,459840,463030,468770,476320,480480,481590,480280,593904,592319,588819,586734,585628,584479,584181,585085,586223,589319,592564,596926,652774,654802,656208,656472,655708,657179,665679,669858,673406,674415,675151,677453,680226,686179,689066,691019,692849,695896,864442,869689,876267,879670,881262,882126
,,,중랑구,353115,354219,355302,355781,356958,358656,360531,362083,366052,368031,368521,368500,444432,443932,443193,442682,442545,442318,442080,442398,442989,444489,446216,447364,451372,452181,453085,453660,453798,454000,458202,461213,463415,464234,465032,465979,467638,469957,471404,472968,474011,476457,638929,644734,649806,652286,654594,655869
,,,성북구,447027,452582,459909,463073,466691,469409,471745,475355,482518,485500,486845,486691,558217,557349,556443,554915,554453,553868,553717,554217,555113,557019,559651,562491,589518,590634,592536,592268,591607,591839,597393,601402,603741,604429,605696,607089,608661,611143,613348,615545,617679,622402,819598,826170,832738,840638,846952,848550
,,,강북구,385643,387071,389143,390486,392986,396257,400214,404886,412929,417014,418629,418743,478758,478576,478030,478076,477727,477545,478667,479545,480848,482591,484242,485515,495000,496847,498750,500042,499917,500583,508569,512236,513611,514361,514944,516681,518278,522319,523861,525222,526583,530847,692066,696157,699603,702050,702711,702793
,,,도봉구,350782,351909,353036,353909,354755,355809,356991,359100,365191,368391,369300,369064,431198,429811,427830,427255,426519,426066,426387,426802,427491,429009,430670,432802,420883,422419,424285,425803,425829,426723,432455,435491,436295,436875,437402,438554,440214,443920,447009,448964,451598,455955,667923,676167,681606,685023,687063,687760
,,,노원구,362431,363675,364925,364975,365163,365706,366313,368413,374400,377194,378144,377669,445903,444779,443591,442091,441760,441604,441857,442292,443195,445448,447370,449487,467222,468846,470932,472685,472710,473617,480086,483210,484531,485395,486340,488586,490833,495278,498951,502623,506691,514914,695432,705035,712228,718152,722041,723905
,,서북권,,539499,546350,551999,555783,559171,562704,566082,573086,582253,586144,586498,586089,679158,676554,674713,673628,672914,672655,673490,674851,676639,681118,685491,690191,764497,766171,767381,766847,765161,764905,774441,778785,781597,783191,784052,786655,789379,795643,798861,801258,803866,810576,956231,963766,971238,981723,989903,991224
,,,은평구,438344,440122,441544,442456,444189,446244,448389,454478,463311,467011,467200,467411,537430,536907,534256,533384,532919,532756,533233,533256,534337,536500,538756,542267,601337,602496,603490,603612,603653,603929,610286,613449,616367,617337,618031,619663,621398,625051,627041,629459,631561,635510,797275,805220,812560,820038,826791,827077
,,,서대문구,486250,490636,494625,498807,502409,506659,509227,512682,518830,522386,522864,522523,611583,610369,609167,608321,607167,606512,606607,607619,608571,611119,614726,618262,643739,644826,645804,645533,644891,644891,651022,655065,657641,658402,659000,660500,662261,664859,666489,667728,668935,672652,914506,919218,923718,932420,938879,940270
,,,마포구,657137,669735,679882,685598,690108,694255,699186,709520,721176,725461,725853,724912,839735,834480,832796,831367,830786,830745,832408,835071,838031,845745,852337,858827,986221,988750,990308,989048,985192,984317,998962,1004481,1007385,1010106,1011298,1015510,1019750,1030865,1036260,1039510,1043577,1054750,1134507,1144094,1154232,1168941,1179877,1182064
,강남지역,,,820158,838508,845003,846643,846489,845318,845459,853282,872397,876784,874895,871693,960637,954488,948901,944819,942788,942606,944331,946186,948277,955848,964848,986745,1048388,1047246,1045394,1039446,1034452,1036102,1048209,1052860,1055158,1055837,1056709,1060180,1065763,1073630,1077069,1083244,1091206,1106871,1279123,1291275,1306537,1319575,1329249,1333947
,,서남권,,534716,541215,544954,548022,550422,552233,555307,561285,572665,575476,575686,575004,651671,649874,647408,644663,643133,642657,643612,644337,645274,648766,653670,661858,691581,691297,692219,692695,692475,693670,701177,705187,707843,708683,709620,711398,713979,718524,722318,725522,729299,735882,920207,927408,935507,942268,947148,949342
,,,양천구,705708,718667,721208,718308,717350,715925,717292,726267,742283,744592,744692,743642,808806,804463,798612,792164,789597,788881,792022,793000,793649,799910,807642,827381,876286,876079,876279,875343,873414,875407,884850,889929,893000,893800,894514,897150,900700,906261,912611,918546,925554,934686,1196524,1202141,1208153,1212415,1216395,1218141
,,,강서구,481953,489414,496055,503773,506711,508195,510414,514484,525992,529813,529859,529313,583185,582395,581177,578968,577355,576395,576169,576645,577379,579476,583266,588250,615250,615932,616598,617386,617000,617136,623697,627288,629871,630788,631848,633348,635697,638765,641561,643379,645197,649356,849210,858741,870094,878239,885173,887913
,,,구로구,424241,427845,429871,433267,436086,439517,442216,444526,449397,451672,452216,451836,526882,526518,526355,525373,525009,525009,525191,525691,526582,528918,532273,535682,553669,555398,557297,559042,560483,562559,570017,573797,576415,577288,578212,579432,581500,584275,586347,587924,589737,593008,665836,671066,677414,683172,688553,691352
,,,금천구,348900,349257,349971,350671,351871,352957,354171,356529,361414,363686,364329,364400,404297,403906,403281,403016,402859,402859,403266,403594,404125,405625,407875,410234,514411,514666,515526,516397,516756,517782,521923,524231,525885,526526,527038,527949,528897,531090,532372,533577,534910,538564,638543,641853,646434,651938,654875,654588
,,,영등포구,589568,596145,599964,603891,606636,608955,614636,625436,639600,642873,643909,643364,777065,775287,772435,771306,769769,769528,770630,771861,773546,778546,784352,790361,811102,805448,806083,806032,805485,806553,815280,820331,823466,824356,825407,827110,829424,835983,839661,843220,848780,856695,1139713,1147357,1156448,1163800,1168135,1170000
,,,동작구,642030,648350,654800,660570,666840,670710,675720,684200,702310,705200,704200,702530,807327,804143,799714,794531,791704,791071,792908,793969,795327,799561,806469,819582,835058,836250,837442,837192,836577,837298,844644,847923,849327,849827,850404,851606,854606,860038,865644,870644,876106,888529,1065149,1074886,1085873,1095958,1103453,1108527
,,,관악구,423337,425228,426630,427467,429576,432283,435630,438293,443739,445891,446076,445815,496558,495651,494651,493430,492686,492360,492174,492419,492965,494407,497023,500186,510957,511435,512663,514283,515196,516554,523196,526967,530511,531663,533272,536359,539489,545370,549120,551587,553707,558848,745299,753247,759655,765529,766920,766994
,,동남권,,1138297,1169856,1179422,1179469,1176471,1171975,1168847,1178726,1206462,1212606,1208378,1202367,1300613,1289677,1280655,1275100,1272520,1272660,1275232,1278331,1281692,1293752,1307259,1344241,1443392,1441301,1436376,1423316,1413039,1415192,1432391,1437751,1439654,1440154,1440954,1446299,1455206,1466751,1469797,1479261,1491855,1517575,1745838,1764430,1789004,1810205,1826114,1834068
,,,서초구,1306195,1346953,1352734,1352148,1348648,1346188,1346086,1357820,1394578,1402102,1398398,1394773,1555515,1544321,1536679,1527799,1524067,1523590,1527097,1531560,1536963,1546149,1559873,1594724,1775269,1776966,1770507,1750110,1731616,1732849,1751014,1757795,1759164,1759747,1761322,1771322,1783411,1797521,1807781,1818192,1834199,1873390,1983714,2006381,2035696,2060762,2084527,2094883
,,,강남구,1418398,1454511,1466210,1466237,1463059,1455855,1449339,1460570,1495366,1501737,1502559,1493269,1617961,1600129,1586730,1582011,1580775,1581596,1584787,1589466,1593747,1611242,1630096,1678062,1758527,1755204,1749409,1732086,1714102,1714914,1731527,1738333,1741538,1742161,1742968,1748478,1757349,1768618,1760156,1772882,1789457,1818801,2196672,2218407,2249256,2275295,2292907,2304003
,,,송파구,1032208,1056965,1068264,1067938,1063993,1056972,1052486,1062549,1077813,1083326,1070514,1063479,1113576,1107382,1100618,1098257,1098146,1099660,1102847,1104521,1106472,1118417,1130090,1166361,1256877,1251701,1245727,1235416,1234545,1240305,1260838,1265377,1266416,1266792,1267214,1270682,1279766,1292870,1301260,1310260,1321318,1341981,1606536,1625248,1648966,1670424,1684514,1690684
,,,강동구,572700,594793,602720,604327,603973,605960,607187,611693,635327,640220,640713,639167,735167,728643,721690,713683,706183,703675,702968,703944,705429,711976,719000,740921,787716,787881,788179,787343,785164,784776,796149,798575,800418,800806,801209,803306,807813,813870,817990,821482,825448,835836,988594,997388,1008121,1017067,1023500,1026442
경기,,,,321896,323802,325231,326362,326840,327185,327297,327732,330735,333158,334458,334469,355541,354658,353599,351599,350168,349317,349249,349695,350665,352063,354143,357767,378093,383242,391027,395275,397329,400898,406661,411193,415139,417481,422192,428430,435503,445540,452826,459543,465274,475895,574980,586528,595994,604334,608837,610363
,경부1권,,,486002,495536,501109,504683,506360,507203,507759,509092,517686,521553,522139,521254,578729,575863,573063,568727,565529,563985,563960,565504,568537,573243,578536,587379,623460,627362,635544,640710,643165,645239,651671,657948,663007,666871,672850,681023,691579,705532,715671,726031,737794,756755,867741,885012,897622,908575,913691,915635
,,과천시,,862396,894063,900729,905729,906979,906146,906146,910000,948438,961563,963021,961771,1138229,1135292,1123646,1106417,1097583,1103500,1119833,1141229,1152688,1173167,1202104,1244646,1277104,1274688,1273625,1271167,1259229,1252208,1260208,1270396,1276354,1277958,1278688,1292229,1310583,1330208,1340167,1344000,1349292,1368271,1626438,1643766,1650594,1656266,1664891,1672172
,,안양시,,406095,408300,410471,412405,413273,414061,414912,416579,421326,425996,426875,427031,477815,476241,477759,473538,470727,469183,465987,466460,468872,471715,475256,483244,501499,509480,521684,529028,533489,537566,541945,545383,549345,553694,558437,563770,571466,582922,595620,611936,630622,662823,677179,697518,711484,725665,726707,727256
,,,만안구,354909,356273,357284,358307,358489,358920,359034,359909,362864,365205,366045,366114,409660,408287,407106,403926,402489,400649,394383,395298,396787,400149,404883,410309,437979,446260,455604,462646,467646,471521,474844,478177,481406,484042,487042,490542,497604,507833,518656,530542,537375,550469,549667,561500,571232,580415,571361,572918
,,,동안구,430770,433381,436111,438484,439683,440643,441849,443897,449508,455302,456198,456397,512715,511038,513938,509185,505669,504277,502654,502900,505785,508362,511292,520592,534326,542152,555833,563333,567515,571697,576621,580114,584455,589689,595333,601614,609636,621727,635394,654000,678811,720886,759056,784856,801540,818930,826456,826358
,,성남시,,609982,629659,641302,648257,651671,653040,653654,655512,668900,672415,672418,670161,756756,751400,745578,741251,738394,737191,739670,741980,745558,752531,760277,769743,835824,836599,836927,836267,836216,836785,846778,857494,864928,869838,880051,893841,909657,923456,929675,933863,938429,944644,1108672,1122217,1132584,1140365,1146272,1148887
,,,수정구,474000,480903,490435,494016,497645,499532,500048,500548,508903,513177,513210,510210,672049,665037,655598,650720,650683,650073,653012,657049,661049,669683,681012,697098,868940,872690,876167,879821,884798,888488,899095,909167,917083,921774,925631,934119,947262,964202,976190,982988,988357,999452,933382,944718,954443,964523,968156,969359
,,,중원구,333186,334871,336986,339243,340357,341257,342271,343886,347943,350286,350743,351900,401426,400824,399662,399250,399103,398985,399162,399559,400559,402750,404471,406279,418147,419985,423015,425574,426574,428824,434588,441515,447926,451191,455500,460368,464868,472500,480904,487007,493125,501853,730653,742597,750710,755065,760024,762242
,,,분당구,695699,721637,735781,744377,748267,749651,750192,752342,768699,772342,772240,769349,854676,848622,842554,837473,833392,831818,834709,837068,841128,848804,857108,866831,921324,921196,920216,917872,916459,915953,926750,938453,946007,951331,964284,981250,1000182,1014649,1019088,1022264,1026304,1030865,1316521,1331518,1342967,1351116,1358259,1361571
,,군포시,,329333,329289,329246,329105,328789,328702,328579,327789,329746,331439,332474,332333,348573,348218,345818,342564,339436,336573,334964,335073,337364,339500,340091,343545,347884,351670,372098,386643,391866,394009,396438,398045,398652,399116,399652,400911,404214,415161,424027,433857,447214,470143,531673,548843,563190,574855,582855,586101
,,의왕시,,384788,385663,386538,387413,388163,389225,389975,390938,394063,397538,398538,398788,430141,429231,425513,421872,416795,414295,413577,413321,415449,417551,421167,432462,461138,466150,473900,481513,486500,490375,495438,499913,506688,511213,514225,519100,528213,557315,579038,598775,616700,637225,758107,780065,796423,810506,818595,818107
,경부2권,,,325679,326592,328033,330089,331206,332394,333376,334395,337926,341728,344240,345434,361758,361380,360820,358968,357667,356968,357000,357850,358712,359699,361735,366387,388389,403666,419481,423864,425788,430873,436308,440747,447001,450365,454206,459091,465915,475420,481776,487977,491615,501142,595232,607137,616347,624884,629984,632024
,,안성시,,145573,144584,143304,142013,140135,138712,137578,137077,136845,136384,135280,134049,148100,147830,147610,146805,146150,145410,144750,143490,142885,142520,142340,142275,150091,149759,149792,149821,149726,149915,150906,151000,151226,151533,152071,153005,154939,156967,158863,162019,163491,168849,191982,197525,202433,207424,210795,212867
,,용인시,,363103,364006,365943,369543,371361,373240,374710,376672,382987,389193,393076,394218,406562,405939,405151,401923,400214,399335,399124,400159,401033,401830,403960,408482,419406,431323,444189,449132,451502,457285,463198,469893,481089,485807,492038,498965,507637,519277,525950,531986,534853,543009,671822,684734,694315,702660,708007,710811
,,,처인구,180736,180194,179764,179236,178833,178597,177986,177181,177153,176917,176333,175750,184213,183925,183713,182988,182838,182688,183288,183913,184338,184888,185288,185713,198051,198398,199510,200102,200653,202051,202847,204235,206133,207816,209561,212235,214102,217776,220051,223398,226357,233051,326114,331944,335857,340635,343897,345599
,,,기흥구,334956,335257,335846,337787,339684,343515,346324,348941,356015,362684,366890,367662,371310,370500,370049,366620,365275,365268,364796,364937,365606,366401,367894,370514,390082,398466,410507,414630,416514,422842,429130,433849,446096,448459,455356,462630,471301,482925,491384,497185,501075,512253,640642,655543,664739,672415,677481,678748
