* 통계표명 :,평균전세가격_아파트,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,2012년 01월 ~ 2023년 06월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,한국부동산원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2023.07.17 16:52:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
지 역,,,,2018년 01월,2018년 02월,2018년 03월,2018년 04월,2018년 05월,2018년 06월,2018년 07월,2018년 08월,2018년 09월,2018년 10월,2018년 11월,2018년 12월,2019년 01월,2019년 02월,2019년 03월,2019년 04월,2019년 05월,2019년 06월,2019년 07월,2019년 08월,2019년 09월,2019년 10월,2019년 11월,2019년 12월,2020년 01월,2020년 02월,2020년 03월,2020년 04월,2020년 05월,2020년 06월,2020년 07월,2020년 08월,2020년 09월,2020년 10월,2020년 11월,2020년 12월,2021년 01월,2021년 02월,2021년 03월,2021년 04월,2021년 05월,2021년 06월,2021년 07월,2021년 08월,2021년 09월,2021년 10월,2021년 11월,2021년 12월
전국,,,,227641,227491,226965,226213,225154,224313,223740,223386,223550,223631,223521,222941,228000,226979,225977,224927,224244,223702,223366,223347,223550,224180,225022,226281,231562,232591,233472,233922,234326,235423,236923,238935,241270,243364,246389,250758,253946,256587,258433,259680,260921,263722,308699,311556,314123,316827,318662,319525
수도권,,,,307606,307495,306665,305479,303918,302776,302138,301987,302699,303130,303078,302207,307396,305575,303876,302274,301367,300768,300535,300836,301487,302780,304293,306453,314117,315733,317063,317776,318426,320032,322258,325147,328360,331149,335007,339729,343305,346541,348818,350183,351476,355356,434833,439338,443397,447376,449902,451034
지방권,,,,151831,151645,151406,151066,150483,149928,149415,148869,148513,148262,148099,147793,153319,153050,152703,152173,151701,151212,150780,150459,150242,150248,150458,150870,153888,154364,154822,155025,155197,155817,156634,157820,159328,160768,163011,167046,169869,171952,173393,174529,175720,177506,194696,196062,197281,198833,200045,200663
6대광역시,,,,190541,190396,190246,189970,189350,188865,188407,187840,187602,187512,187375,187086,191298,191032,190750,190301,189968,189633,189305,189134,189207,189495,189980,190746,197000,197912,198751,199334,199633,200494,201263,202294,204031,205878,209265,214981,218827,221868,224215,226115,228120,231421,254904,256983,258725,260706,262093,262717
5대광역시,,,,187562,187421,187287,187044,186423,185930,185482,184969,184703,184615,184439,184151,187906,187738,187508,187091,186754,186438,186073,185937,185926,186173,186621,187356,192778,193579,194159,194339,194525,195313,196140,197298,198960,200636,203463,209121,212952,215870,217903,219410,221076,223589,248438,249966,251242,252848,253989,254467
9개도,,,,183960,183489,182987,182359,181527,180689,179887,179130,178814,178655,178402,177764,183702,183056,182318,181144,180268,179550,179064,178890,178975,179467,180171,181102,186771,187793,188617,188962,189369,190553,192087,194009,196254,198204,200519,203694,206051,208264,209668,210658,211685,213713,254420,257275,259765,262419,264168,265005
8개도,,,,121252,121060,120733,120310,119811,119249,118739,118196,117773,117313,116961,116491,123765,123376,122957,122420,121869,121290,120827,120363,119974,119765,119745,119818,121119,121283,121455,121588,121724,122159,122715,123449,124363,125120,126514,128624,130057,131195,132143,132995,133858,135159,150237,151548,152753,154276,155594,156510
서울,,,,439055,439993,438701,436684,434167,432741,432791,434190,436665,437730,437809,436631,448326,444552,441345,439739,439113,438876,439082,439901,440772,442509,444455,447659,457988,459219,460070,460497,461054,462242,464581,467949,470937,473167,477413,482445,486357,489337,491824,492800,493477,498336,615578,620146,624717,629079,632236,634037
,강북지역,,,359750,360719,361257,361137,360921,360823,360971,361505,362204,363031,363132,362593,375269,373695,371799,370629,370237,370069,370069,370411,370791,371709,372582,373767,383281,384171,384962,385483,385719,386508,387984,390081,392171,393872,395756,398998,401488,403440,404853,406032,407083,408944,528987,532434,536166,539741,542687,543875
,,도심권,,523806,525680,526746,527392,527667,528277,528680,529914,531600,532695,531963,530592,550511,547972,546128,544308,543255,542543,542134,542210,542670,543750,545269,547821,562210,563436,564308,564962,565326,566372,567918,569906,571758,573507,575528,580651,584115,586267,588252,589329,589852,591151,726628,731923,737461,743471,748567,750192
